Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing With Tall Candles|Industry|PHARMACEUTICAL PREPARATIONS|20|0.5|52
Bearish Engulfing With Tall Candles|Industry|SERVICES-PREPACKAGED SOFTWARE|12|0.4166666666666667|73
Bearish Engulfing With Tall Candles|Industry|RETAIL-EATING PLACES|13|0.38461538461538464|188
Bearish Engulfing With Tall Candles|Industry|INVESTMENT ADVICE|11|0.36363636363636365|197
Bearish Engulfing With Tall Candles|Overall|All|1179|0.2926208651399491|167
Bearish Engulfing With Tall Candles|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|14|0.2857142857142857|135
Bearish Engulfing With Tall Candles|Industry|REAL ESTATE INVESTMENT TRUSTS|51|0.27450980392156865|234
Bearish Engulfing With Tall Candles|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|20|0.25|128
Bearish Engulfing With Tall Candles|Industry|NATIONAL COMMERCIAL BANKS|25|0.16|210
Bearish Engulfing With Tall Candles|Industry|STATE COMMERCIAL BANKS|41|0.14634146341463414|270
Bearish Engulfing With Tall Candles|Industry|FIRE, MARINE & CASUALTY INSURANCE|17|0.11764705882352941|336
